Period,Ranking,Program,Rate
Year 2010 Month 1 Week 1,5,주말극장(천만번사랑해),24.2
Year 2010 Month 1 Week 1,8,SBS연예대상2부,21.1
Year 2010 Month 1 Week 2,5,주말극장(천만번사랑해),23.4
Year 2010 Month 1 Week 3,7,주말극장(천만번사랑해),21.7
Year 2010 Month 1 Week 4,6,주말극장(천만번사랑해),24.7
Year 2010 Month 1 Week 5,4,주말극장(천만번사랑해),25.9
Year 2010 Month 1 Week 5,10,특별기획(그대웃어요),18.7
Year 2010 Month 2 Week 1,3,주말극장(천만번사랑해),26.8
Year 2010 Month 2 Week 1,10,특별기획(그대웃어요),17.8
Year 2010 Month 2 Week 2,5,주말극장(천만번사랑해),20.8
Year 2010 Month 2 Week 2,7,설날특선대작(국가대표2부),20.6
Year 2010 Month 2 Week 3,3,주말극장(천만번사랑해),27.3
Year 2010 Month 2 Week 4,3,주말극장(천만번사랑해),25.3
Year 2010 Month 2 Week 4,6,연아의트리플러브,22.5
Year 2010 Month 3 Week 1,4,주말극장(천만번사랑해),27.8
Year 2010 Month 3 Week 2,10,주말극장(이웃집웬수),18.2
Year 2010 Month 3 Week 3,8,주말극장(이웃집웬수),19.2
Year 2010 Month 3 Week 4,4,주말극장(이웃집웬수),21.4
Year 2010 Month 3 Week 4,10,순간포착,16.1
Year 2010 Month 4 Week 1,4,주말극장(이웃집웬수),19.7
Year 2010 Month 4 Week 1,6,일일드라마(아내가돌아왔다),16.3
Year 2010 Month 4 Week 1,7,순간포착,16.2
Year 2010 Month 4 Week 1,9,특별기획(인생은아름다워),15.8
Year 2010 Month 4 Week 2,3,주말극장(이웃집웬수),20.4
Year 2010 Month 4 Week 2,8,특별기획(인생은아름다워),17.5
Year 2010 Month 4 Week 3,2,주말극장(이웃집웬수),21.3
Year 2010 Month 4 Week 3,9,특별기획(인생은아름다워),16.9
Year 2010 Month 4 Week 3,10,일일드라마(아내가돌아왔다),15.8
Year 2010 Month 4 Week 4,2,주말극장(이웃집웬수),20.6
Year 2010 Month 4 Week 4,8,특별기획(인생은아름다워),18.4
Year 2010 Month 5 Week 1,5,주말극장(이웃집웬수),20.3
Year 2010 Month 5 Week 1,10,특별기획(인생은아름다워),17.7
Year 2010 Month 5 Week 2,5,주말극장(이웃집웬수),19.1
Year 2010 Month 5 Week 2,9,특별기획(인생은아름다워),16.4
Year 2010 Month 5 Week 2,10,강심장,15.7
Year 2010 Month 5 Week 3,6,주말극장(이웃집웬수),18.9
Year 2010 Month 5 Week 3,7,아침연속극(당돌한여자),17.8
Year 2010 Month 5 Week 3,8,특별기획(인생은아름다워),17.4
Year 2010 Month 5 Week 4,4,주말극장(이웃집웬수),23.7
Year 2010 Month 5 Week 4,8,특별기획(인생은아름다워),18.4
Year 2010 Month 5 Week 5,4,주말극장(이웃집웬수),24.5
Year 2010 Month 5 Week 5,10,특별기획(인생은아름다워),19.7
Year 2010 Month 6 Week 1,5,주말극장(이웃집웬수),21.2
Year 2010 Month 6 Week 1,8,특별기획(인생은아름다워),19.1
Year 2010 Month 6 Week 1,9,아침연속극(당돌한여자),19.0
Year 2010 Month 6 Week 2,1,2010남아공월드컵(32강그리스:한국),45.9
Year 2010 Month 6 Week 2,3,로또복권추첨,27.2
Year 2010 Month 6 Week 2,5,2010남아공월드컵(32강나이지리아:아르헨티나),24.1
Year 2010 Month 6 Week 2,8,아침연속극(당돌한여자),20.7
Year 2010 Month 6 Week 2,10,2010남아공월드컵(32강남아공:멕시코),19.1
Year 2010 Month 6 Week 3,1,2010남아공월드컵(32강아르헨티나:한국),47.8
Year 2010 Month 6 Week 3,4,2010남아공월드컵(32강일본:카메룬),21.1
Year 2010 Month 6 Week 3,5,아침연속극(당돌한여자),20.8
Year 2010 Month 6 Week 3,6,2010남아공월드컵(32강네덜란드:일본),20.7
Year 2010 Month 6 Week 3,8,2010남아공월드컵(32강그리스:나이지리아),18.2
Year 2010 Month 6 Week 4,1,2010남아공월드컵(16강우루과이:한국),44.3
Year 2010 Month 6 Week 4,2,2010남아공월드컵(32강나이지리아:한국),39.5
Year 2010 Month 6 Week 4,5,2010남아공월드컵(32강북한:포르투갈),23.3
Year 2010 Month 6 Week 4,6,아침연속극(당돌한여자),22.0
Year 2010 Month 7 Week 1,3,2010남아공월드컵(8강독일:아르헨티나),26.5
Year 2010 Month 7 Week 1,4,아침연속극(당돌한여자),21.9
Year 2010 Month 7 Week 1,6,2010남아공월드컵(8강네덜란드:브라질),21.0
Year 2010 Month 7 Week 1,8,2010남아공월드컵(16강일본:파라과이),20.3
Year 2010 Month 7 Week 1,9,주말극장(이웃집웬수),19.1
Year 2010 Month 7 Week 2,3,주말극장(이웃집웬수),21.4
Year 2010 Month 7 Week 2,5,아침연속극(당돌한여자),20.1
Year 2010 Month 7 Week 2,10,특별기획(인생은아름다워),18.5
Year 2010 Month 7 Week 3,3,주말극장(이웃집웬수),21.5
Year 2010 Month 7 Week 3,8,아침연속극(당돌한여자),20.1
Year 2010 Month 7 Week 3,9,특별기획(인생은아름다워),19.5
Year 2010 Month 7 Week 4,4,주말극장(이웃집웬수),20.8
Year 2010 Month 7 Week 4,8,아침연속극(당돌한여자),19.1
Year 2010 Month 7 Week 4,9,특별기획(인생은아름다워),19.1
Year 2010 Month 8 Week 1,4,주말극장(이웃집웬수),19.4
Year 2010 Month 8 Week 1,6,아침연속극(당돌한여자),19.0
Year 2010 Month 8 Week 1,8,특별기획(인생은아름다워),18.4
Year 2010 Month 8 Week 1,9,SBS대하드라마(자이언트),18.3
Year 2010 Month 8 Week 2,4,주말극장(이웃집웬수),21.3
Year 2010 Month 8 Week 2,6,SBS대하드라마(자이언트),20.0
Year 2010 Month 8 Week 2,8,특별기획(인생은아름다워),19.0
Year 2010 Month 8 Week 3,4,SBS대하드라마(자이언트),22.2
Year 2010 Month 8 Week 3,6,주말극장(이웃집웬수),21.9
Year 2010 Month 8 Week 3,7,특별기획(인생은아름다워),21.2
Year 2010 Month 8 Week 4,3,SBS대하드라마(자이언트),23.6
Year 2010 Month 8 Week 4,6,주말극장(이웃집웬수),20.8
Year 2010 Month 8 Week 4,7,특별기획(인생은아름다워),20.4
Year 2010 Month 8 Week 5,5,주말극장(이웃집웬수),23.0
Year 2010 Month 8 Week 5,6,특별기획(인생은아름다워),22.0
Year 2010 Month 8 Week 5,7,SBS대하드라마(자이언트),21.7
Year 2010 Month 9 Week 1,5,주말극장(이웃집웬수),22.3
Year 2010 Month 9 Week 1,6,특별기획(인생은아름다워),22.1
Year 2010 Month 9 Week 1,7,SBS대하드라마(자이언트),21.5
Year 2010 Month 9 Week 2,4,SBS대하드라마(자이언트),23.4
Year 2010 Month 9 Week 2,6,주말극장(이웃집웬수),22.4
Year 2010 Month 9 Week 2,8,특별기획(인생은아름다워),21.9
Year 2010 Month 9 Week 3,5,SBS대하드라마(자이언트),23.9
Year 2010 Month 9 Week 3,6,특별기획(인생은아름다워),22.4
Year 2010 Month 9 Week 3,7,주말극장(이웃집웬수),21.9
Year 2010 Month 9 Week 4,3,특별기획(인생은아름다워),22.8
Year 2010 Month 9 Week 4,4,주말극장(이웃집웬수),22.6
Year 2010 Month 9 Week 4,7,SBS스포츠축구(U-17여자월드컵결승일본:한국),19.4
Year 2010 Month 9 Week 4,8,SBS대하드라마(자이언트),19.1
Year 2010 Month 10 Week 1,4,주말극장(이웃집웬수),24.1
Year 2010 Month 10 Week 1,6,SBS대하드라마(자이언트),22.7
Year 2010 Month 10 Week 1,7,특별기획(인생은아름다워),22.7
Year 2010 Month 10 Week 2,2,SBS대하드라마(자이언트),23.6
